code,product_name,brands,countries,country_code,categories,created_t,last_modified_t,nutrition_grades,nova_group,nutriments.fat_100g,nutriments.sugars_100g,nutriments.salt_100g,nutriments.proteins_100g,nutriments.carbohydrates_100g,ingredients_text,additives_tags,additives_n,additives_list,nutrition_grade,nutrition_score,continent,created_year,ingredients_count
6111242100992,Perly,Jaouda,"Morocco,United States",us,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Cream cheeses,fr:Fromages-frais-sucres",1474037086,1746310192,unknown,3.0,3.0,,,8.0,9.4,"Lait écrémé, crème, SUcre, ferments laciques Matière grasse:3 %% Poids net : 85g",[],0.0,[],U,,North America,2016,4.0
6111242101180,Lait entier UHT,Jaouda,"Democratic Republic of the Congo,Mauritania,Morocco,United States",us,"Dairies,Milks,Homogenized milks,UHT Milks,Whole milks,Cow milks,Whole milk UHT",1500973157,1744038027,b,1.0,3.0,0.0,0.0,3.0,4.8,Lait entier,[],0.0,[],B,4.0,North America,2017,
50184453,Marmite Yeast Extract,"Marmite,Unilever","Francia,Alemania,Irlanda,Italia,Países Bajos,España,Reino Unido,Estados Unidos",us,"Untables,Untables salados,Extractos de levadura untables",1407070595,1745750502,e,4.0,0.5,1.2,10.8,34.0,30.0,"yeast extract (contains barley, wheat, oats, rye), salt, vegetable juice concentrate, vitamins (thiamin, riboflavin, niacin, vitamin b12, folic acid), natural flavouring (contains celery).",[],0.0,[],E,1.0,North America,2014,12.0
6111099003897,,lilia,"Morocco, en:united-states",us,"Plant-based foods and beverages,Dairies,Plant-based foods,Fats,Spreads,Plant-based spreads,Vegetable fats,Spreadable fats,Animal fats,Dairy spreads,Margarines,Milkfat,Butters,salted-spreads",1618936213,1746090296,d,,75.0,0.0,0.5,0.1,0.2,"زيوت نباتية مصفاة غير مهدرجة مل طيب نشأ الفرد مستحبات (2471) و (478) تسكين الصوجا (1222) حمض السورية (200) السيتريك (2300) مضادات الأكسدة سوريات البوتاسيوم (1202) حم خليط الشوكوفيرولات)، منكم ملون (1600) وفينا , AU : يحفظ في مكان بارد درجة TERR All FRANS : Tents",[],0.0,[],D,2.0,North America,2021,2.0
7622210449283,Prince Goût Chocolat,Lu,"Argelia,Bélgica,Francia,Polinesia Francesa,Alemania,Guadalupe,Hungría,Luxemburgo,Martinica,Marruecos,Nueva Caledonia,Reunión,España,Suiza,Estados Unidos",us,"Botanas,Snacks dulces,Galletas y pasteles,en:Biscuits and crackers,Galletas,Galletas de chocolate",1443988064,1745750547,e,4.0,17.0,32.0,0.49,6.3,69.0,"Céréale 50,7 % (farine de BLÉ 35 %, farine de BLÉ complète 15,7 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de BLE, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium, diphosphate disodique), émulsifiants (lécithine de SOJA, lecithine de tournesol), sel, LAIT écrémé en poudre, lactose et protéines de LAIT, arômes. PEUT CONTENIR OEUF.","['en:e322', 'en:e322i', 'en:e450', 'en:e450i', 'en:e500', 'en:e500ii', 'en:e503', 'en:e503ii']",4.0,"['en:e322', 'en:e322i', 'en:e450', 'en:e450i', 'en:e500', 'en:e500ii', 'en:e503', 'en:e503ii']",E,1.0,North America,2015,20.0
3017620425035,Nutella,Ferrero,"Algérie,Belgique,Bulgarie,France,Allemagne,Guadeloupe,Inde,Italie,Luxembourg,Martinique,Maroc,La Réunion,Espagne,Suisse,Tunisie,Royaume-Uni,États-Unis",us,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao,en:Petit-déjeuners,en:Produits à tartiner,en:Produits à tartiner sucrés,en:Pâtes à tartiner,en:Pâtes à tartiner au chocolat,en:Pâtes à tartiner aux noisettes,en:Pâtes à tartiner aux noisettes et au cacao, en:Confectionary based spreads",1532452519,1746301822,e,4.0,30.9,56.3,0.107,6.3,57.5,"Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten","['en:e322', 'en:e322i']",2.0,"['en:e322', 'en:e322i']",E,1.0,North America,2018,8.0
6111128000163,Ain Saiss Eau Minerale Naturelle,Danone,"Maroc,États-Unis",us,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales",1525088821,1741115956,a,,0.0,0.0,0.0,0.0,0.0,"Calcium : 63,5
Magnésium : 35,5
Nitratex : 7
Sodium 8
Chlorures : 19,8
Sulfate : 3,8
Bicarbonate : 372
Potassium : 1",[],0.0,[],A,5.0,North America,2018,5.0
5025125000006,Sourdough White Ciabattin Bread,Jason’s,"Ireland, United Kingdom, en:united-states",us,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,White breads,Sourdough-bread",1632607287,1745687096,b,3.0,0.8,2.4,0.905,10.1,44.1,"Wheat Flour (Fortified with Calcium Carbonate, Iron, Niacin, Thiamin), Water, Salt, Fermented Wheat Flour.",[],0.0,[],B,4.0,North America,2021,7.0
3017620422003,Nutella,"Ferrero,Nutella","Belgium,France,Germany,India,Italy,Luxembourg,Morocco,Netherlands,Philippines,Poland,Romania,Spain,Switzerland,Turkey,United Kingdom,United States",us,"Petit-déjeuners,Pates-a-tartiner,Pates-a-tartiner-au-chocolat,Pates-a-tartiner-aux-noisettes,Pates-a-tartiner-aux-noisettes-et-au-cacao,Produits-a-tartiner,Produits-a-tartiner-sucres",1457680652,1745930190,e,4.0,30.9,56.3,0.107,6.3,57.5,"Sucre, huile de palme, NOISETTES 13%, cacao maigre 7,4%, LAIT écrémé en poudre 6,6%, LACTOSERUM en poudre, émulsifiants: lécithines [SOJA), vanilline. Sans gluten.","['en:e322', 'en:e322i']",2.0,"['en:e322', 'en:e322i']",E,1.0,North America,2016,10.0
6111203006653,Cheddar,la Hollandaise,"Morocco, en:united-states",us,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Cheeses from the United Kingdom, Cheeses from England, Cheddar cheese, en:cheddar-slices",1612620105,1741258807,d,4.0,21.0,6.0,1.5,9.0,6.0,"(AJR 30%) ¿S-250 (AJR 100%) ¿S 10 (AJR 30%) ¿L 3,5 (AJR 30%) ¿S 300 فيتامين A فيتامين D فيتامين E كالسيوم جبنة مذوبة للدهن 50% مواد دسمة في المادة الجافة. الوزن الصافي : - المكونات حليب خالي من الدسم مشكل شيدر %25، زبدة، أملاح مستحلبة (E452 E341 E450) بروتينات الحليب قلح، مادة حافظة: سوربات البوتاسيوم، الكالسيوم، فيتامين ED،A أنتج بالمغرب من م.ص. عين الـ يحفظ في مكا تاريخ الاستخـ Agrément sanitaire MA LPL.5.11.13 111203 006653 LOONEY TUNES TH www.LOONEYTUNES.COM TH&War Bros Certamente 615) // AJR = Apports j",['en:e452'],1.0,['en:e452'],D,2.0,North America,2021,2.0
6111029000118,Cosumar Sucre En Lingot Pour Le Thé 1 kg,COSUMAR,"Morocco, en:united-states",us,"en:Sweeteners, en:Sugars",1524507127,1742251625,e,,0.0,100.0,0.0,0.0,100.0,Sugar,[],0.0,[],E,1.0,North America,2018,
5449000214799,Coca-Cola Zero Sugar - 330 ml,Coca-Cola,"Belgium, France, Germany, Greece, Hungary, Italy, Serbia, Spain, Switzerland, United States, en:united-kingdom",us,"Beverages and beverages preparations, Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Non-alcoholic beverages, Colas, Diet sodas, Diet cola soft drink",1460788319,1746302525,c,4.0,0.0,0.0,0.02,0.0,0.0,"carbonated water, colouring (e150d), acidifier (phosphoric acid), sweeteners (aspartame, acesulfame-k), natural flavors, caffeine aroma, acidity regulator (sodium citrates), contains a source of phenylalanin","['en:e150d', 'en:e331', 'en:e338', 'en:e950', 'en:e951']",5.0,"['en:e150d', 'en:e331', 'en:e338', 'en:e950', 'en:e951']",C,3.0,North America,2016,9.0
6111203001467,margarine la prairie 225g,la Prairie,"France, Morocco, en:united-states",us,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines, en:salted-spreads",1520885552,1744961132,c,4.0,70.0,0.0,0.7,1.0,0.7,"Corps gras végétal, eau, sucre, sel, mono-diglycérides végétales, lécithine de soja, calcium, amidon, sorbate de potassium, antioxydant, acide citrique, arôme, β-carotène, 7 vitamines : A, B6, B2, B1, E, D et B12.","['en:e202', 'en:e322', 'en:e322i', 'en:e330']",3.0,"['en:e202', 'en:e322', 'en:e322i', 'en:e330']",C,3.0,North America,2018,19.0
5025125000129,Sourdough Bread - Superb Sprouted Grains n°7,Jason's,"United Kingdom, United States, en:ireland",us,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,sourdough bread",1631171194,1739841216,b,3.0,1.1,2.6,0.825,9.3,44.8,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Wholemeal Spelt Flour, Sprouted Spelt (8%), Rye Flour, Salt, Fermented Wheat Flour",[],0.0,[],B,4.0,North America,2021,11.0
3017620429484,Nutella,"Ferrero, Nutella","Argentina, Australia, Belgium, Canada, Colombia, France, Germany, Ireland, Italy, Japan, Luxembourg, Morocco, Netherlands, Réunion, Russia, Saudi Arabia, South Africa, Spain, Sweden, Switzerland, United Kingdom, United States, en:algeria",us,"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner, Pâtes à tartiner aux noisettes, Pâtes à tartiner au chocolat, Pâtes à tartiner aux noisettes et au cacao",1366056898,1745142023,e,4.0,30.9,56.3,0.107,6.3,57.5,"Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants : lécithines [ SOJA ] vanilline","['en:e322', 'en:e322i']",2.0,"['en:e322', 'en:e322i']",E,1.0,North America,2013,8.0
3451790988677,Le Beurre Tendre Doux,"Elle & Vire, Savencia","Canada,France,Suisse,États-Unis",us,"Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Unsalted butters, Sweet cream butters, Butter-82-fat-unsalted-easy-to-spread, fr:Beurres tendres",1415097202,1746087326,e,2.0,82.0,0.8,0.05,0.7,0.8,"cream (origin france), milk fat , lactic ferments,",[],0.0,[],E,1.0,North America,2014,4.0
7640154260283,,,"Morocco, en:united-states",us,,1528386412,1738674381,,,,,,,,قطران 12 مج نيكوتين 6.9 مع الكربون 12 مج,[],0.0,[],,0.0,North America,2018,
3256540000698,Pains au lait x10,Pasquier,"Belgique,France,Suisse,Royaume-Uni,États-Unis",us,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Pains au lait",1424944949,1744893560,c,4.0,11.0,11.0,0.00275,8.6,55.0,"Farine de _blé_ 43%, Levain 21% (Farine de _blé_ 11%, Eau, Sel), Sucre, _Œufs_ frais 11%, _Beurre_ pâtissier, Huile de colza, Levure, _Lait_ écrémé en poudre (Équivalent à 10% de lait écrémé reconstitué), Émulsifiant: mono et diglycérides d'acides gras, Sel, Protéines de _blé_, _Gluten_ de blé, Extrait de carotte, Agent de traitement de la farine : acide ascorbique, Protéines de _lait_","['en:e300', 'en:e471']",2.0,"['en:e300', 'en:e471']",C,3.0,North America,2015,17.0
10614594,Granatapfel Sauerkirsche Fruchtgummi,Sweet-Land,"Austria, France, Germany, Italy, Switzerland, United Kingdom, United States, en:ireland",us,"Imbiss, Süßer Snack, Süßwaren",1693758410,1738674392,c,,1.84,0.4,1.1,2.88,27.2,"Weizenmehl, Wasser, 3% Kartoffelflocken, Roggenmehl, Salz, Hefe, Säureregulator: Natriumacetate; Weizenmalzmehl, Alkohol. Kann Spuren von Soja, Milch, Senf und Sesam enthalten.",[],0.0,[],C,3.0,North America,2023,10.0
5010029000023,Weetabix Original,Weetabix,"Belgique,France,Allemagne,Hong Kong,Japon,Luxembourg,Pays-Bas,Espagne,Suisse,Taiwan,Royaume-Uni,États-Unis",us,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales pour petit déjeuner riches en fibres, Weetabix",1431766947,1742284016,a,3.0,2.0,4.2,0.26,12.0,69.0,"Vollkornweizen (95%), Gerstenmalzextrakt, Zucker, Salz, Niacin, Eisensulfat, Vitamin B2, Vitamin B1, Folsäure",[],0.0,[],A,5.0,North America,2015,9.0
7622210601988,granola,LU,"Belgique,France,Martinique,Maroc,La Réunion,Suisse,États-Unis",us,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat,Biscuits sablés,Biscuits nappés au chocolat,Sablés nappés de chocolat,Sablés au chocolat",1464966440,1745487693,e,4.0,23.0,28.0,1.18,5.9,62.0,"Farine de BLÉ 36%, chocolat au LAIT 27 % [sucre, pâte de cacao, beurre de cacao, lactosérum en poudre (de LAIT), LAIT écrémé en poudre, graisses végétales (karité, palme en proportion variable), BEURRE concentré, émulsifiants (lécithines de SOJA, E476), lactose (de LAIT), arôme], huile de palme, farine complète de BLE 12 %, sucre, sirop de sucre, poudres à lever (carbonates de sodium, carbonates d'ammonium), sel, correcteur d'acidité (acide citrique).

Peut contenir : fruits à coque.","['en:e322', 'en:e322i', 'en:e330', 'en:e476', 'en:e500', 'en:e503']",5.0,"['en:e322', 'en:e322i', 'en:e330', 'en:e476', 'en:e500', 'en:e503']",E,1.0,North America,2016,21.0
5000159461122,,Snickers,"Argélia,Bélgica,Bulgária,Chipre,Dinamarca,França,Alemanha,Hungria,Luxemburgo,México,Marrocos,Países Baixos,Polónia,Portugal,Roménia,Arábia Saudita,Sérvia,Singapura,Espanha,Suécia,Suíça,Reino Unido,Estados Unidos",us,"Lanches comida,Lanches doces,Cacau e derivados,Confeitaria,Barras,Bombons de chocolate,Barras de chocolate,Barras de chocolate caramelo",1389202679,1742743324,e,4.0,22.5,51.8,0.62875,8.6,60.5,"Milk Chocolate (sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin), peanuts, corn syrup, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor.","['en:e322', 'en:e322i']",1.0,"['en:e322', 'en:e322i']",E,1.0,North America,2014,16.0
8076800195057,Spaghetti N.5,Barilla,"Australia,Austria,Belgium,Croatia,France,Germany,Greece,Ireland,Italy,Liechtenstein,Luxembourg,Mexico,Romania,Russia,Serbia,Spain,Sweden,Switzerland,Thailand,United States,United Kingdom",us,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Cereales y derivados,Pastas alimenticias,en:Cereal pastas,Pasta seca,Pasta de trigo duro,Espaguetis,en:Dry durum wheat pasta,Espaguetis de trigo duro",1366031963,1745831232,a,1.0,2.0,3.5,0.01,13.0,71.0,"Krupica durum pšenice, voda. Može sadržati zrna soje u tragovima. Može sadržavati jaja u tragovima ako je proizvedeno u tvornici.",[],0.0,[],A,5.0,North America,2013,2.0
8715700407760,Tomato Ketchup BIO,Heinz,"Belgium, France, Germany, Spain, Switzerland, United Kingdom, United States, en:romania",us,"Condiments, Sauces, Sauces tomate, Ketchup",1368133667,1740766206,d,3.0,0.1,24.8,1.7,1.4,25.3,"Tomates (180 g pour 100 g de Ketchup), sucre, vinaigre, sel, épices (contiennent du céleri), poudre d'oignon, poudre d'ail,",[],0.0,[],D,2.0,North America,2013,8.0
